data_size (B),iteration,duration (ms)
1,1,1
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,0
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,0
8,7,0
8,8,0
8,9,0
8,10,0
16,1,0
16,2,0
16,3,0
16,4,0
16,5,0
16,6,0
16,7,0
16,8,0
16,9,0
16,10,0
32,1,0
32,2,0
32,3,0
32,4,0
32,5,0
32,6,0
32,7,0
32,8,0
32,9,0
32,10,0
64,1,0
64,2,0
64,3,0
64,4,0
64,5,0
64,6,0
64,7,0
64,8,0
64,9,0
64,10,0
128,1,0
128,2,0
128,3,0
128,4,0
128,5,0
128,6,0
128,7,0
128,8,0
128,9,0
128,10,0
256,1,0
256,2,0
256,3,0
256,4,0
256,5,0
256,6,0
256,7,0
256,8,0
256,9,0
256,10,0
512,1,0
512,2,0
512,3,0
512,4,0
512,5,0
512,6,0
512,7,0
512,8,0
512,9,0
512,10,0
1024,1,0
1024,2,0
1024,3,0
1024,4,0
1024,5,0
1024,6,0
1024,7,0
1024,8,0
1024,9,0
1024,10,0
2048,1,0
2048,2,0
2048,3,0
2048,4,0
2048,5,0
2048,6,0
2048,7,0
2048,8,0
2048,9,0
2048,10,0
4096,1,0
4096,2,0
4096,3,0
4096,4,0
4096,5,0
4096,6,0
4096,7,0
4096,8,0
4096,9,0
4096,10,0
8192,1,1
8192,2,1
8192,3,1
8192,4,1
8192,5,1
8192,6,1
8192,7,1
8192,8,1
8192,9,1
8192,10,1
16384,1,2
16384,2,2
16384,3,2
16384,4,2
16384,5,2
16384,6,2
16384,7,2
16384,8,2
16384,9,2
16384,10,2
32768,1,4
32768,2,4
32768,3,4
32768,4,4
32768,5,4
32768,6,4
32768,7,4
32768,8,4
32768,9,4
32768,10,4
65536,1,7
65536,2,8
65536,3,7
65536,4,8
65536,5,7
65536,6,7
65536,7,8
65536,8,7
65536,9,7
65536,10,7
131072,1,14
131072,2,14
131072,3,14
131072,4,14
131072,5,14
131072,6,14
131072,7,14
131072,8,14
131072,9,14
131072,10,15
262144,1,28
262144,2,29
262144,3,29
262144,4,29
262144,5,28
262144,6,29
262144,7,28
262144,8,28
262144,9,28
262144,10,28
524288,1,57
524288,2,56
524288,3,56
524288,4,57
524288,5,56
524288,6,55
524288,7,55
524288,8,55
524288,9,55
524288,10,55
1048576,1,111
1048576,2,109
1048576,3,110
1048576,4,109
1048576,5,109
1048576,6,109
1048576,7,109
1048576,8,110
1048576,9,109
1048576,10,110
2097152,1,219
2097152,2,217
2097152,3,217
2097152,4,217
2097152,5,217
2097152,6,217
2097152,7,217
2097152,8,217
2097152,9,217
2097152,10,217
4194304,1,437
4194304,2,432
4194304,3,433
4194304,4,434
4194304,5,433
4194304,6,434
4194304,7,433
4194304,8,434
4194304,9,434
4194304,10,434
8388608,1,870
8388608,2,863
8388608,3,867
8388608,4,865
8388608,5,864
8388608,6,865
8388608,7,865
8388608,8,865
8388608,9,865
8388608,10,865
16777216,1,1742
16777216,2,1725
16777216,3,1731
16777216,4,1726
16777216,5,1734
16777216,6,1737
16777216,7,1725
16777216,8,1727
16777216,9,1726
16777216,10,1726
33554432,1,3473
33554432,2,3476
33554432,3,3472
33554432,4,3477
33554432,5,3472
33554432,6,3482
33554432,7,3469
33554432,8,3517
33554432,9,3472
33554432,10,3477
67108864,1,7590
67108864,2,7580
67108864,3,7581
67108864,4,7582
67108864,5,7571
67108864,6,7573
67108864,7,7581
67108864,8,7577
67108864,9,7572
67108864,10,7578
134217728,1,14512
134217728,2,14503
134217728,3,14554
134217728,4,14492
134217728,5,14505
134217728,6,14501
134217728,7,14585
134217728,8,14511
134217728,9,14502
134217728,10,14500
268435456,1,28388
268435456,2,28374
268435456,3,28404
268435456,4,28351
268435456,5,28334
268435456,6,28333
268435456,7,28336
268435456,8,28354
268435456,9,28345
268435456,10,28398
536870912,1,56021
536870912,2,56027
536870912,3,56050
536870912,4,56044
536870912,5,55975
536870912,6,55993
536870912,7,56089
536870912,8,56067
536870912,9,56023
536870912,10,56061
1073741824,1,111492
1073741824,2,111387
1073741824,3,111439
1073741824,4,111453
1073741824,5,111428
1073741824,6,111474
1073741824,7,111457
1073741824,8,111443
1073741824,9,111441
1073741824,10,111442
