data_size (B),iteration,duration (ms)
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,0
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,0
8,7,0
8,8,0
8,9,0
8,10,0
16,1,0
16,2,0
16,3,0
16,4,0
16,5,0
16,6,0
16,7,0
16,8,0
16,9,0
16,10,0
32,1,0
32,2,0
32,3,0
32,4,0
32,5,0
32,6,0
32,7,0
32,8,0
32,9,0
32,10,0
64,1,0
64,2,0
64,3,0
64,4,0
64,5,0
64,6,0
64,7,0
64,8,0
64,9,0
64,10,0
128,1,0
128,2,0
128,3,0
128,4,0
128,5,0
128,6,0
128,7,0
128,8,0
128,9,0
128,10,0
256,1,0
256,2,0
256,3,0
256,4,0
256,5,0
256,6,0
256,7,0
256,8,0
256,9,0
256,10,0
512,1,0
512,2,0
512,3,0
512,4,0
512,5,0
512,6,0
512,7,0
512,8,0
512,9,0
512,10,0
1024,1,0
1024,2,0
1024,3,0
1024,4,0
1024,5,0
1024,6,0
1024,7,0
1024,8,0
1024,9,0
1024,10,0
2048,1,0
2048,2,0
2048,3,0
2048,4,0
2048,5,0
2048,6,0
2048,7,0
2048,8,0
2048,9,0
2048,10,0
4096,1,0
4096,2,0
4096,3,0
4096,4,0
4096,5,0
4096,6,0
4096,7,0
4096,8,0
4096,9,0
4096,10,0
8192,1,0
8192,2,0
8192,3,0
8192,4,0
8192,5,0
8192,6,0
8192,7,0
8192,8,0
8192,9,0
8192,10,0
16384,1,1
16384,2,1
16384,3,1
16384,4,1
16384,5,1
16384,6,1
16384,7,1
16384,8,1
16384,9,1
16384,10,1
32768,1,2
32768,2,2
32768,3,2
32768,4,2
32768,5,2
32768,6,2
32768,7,2
32768,8,2
32768,9,2
32768,10,2
65536,1,3
65536,2,3
65536,3,3
65536,4,3
65536,5,3
65536,6,3
65536,7,3
65536,8,3
65536,9,3
65536,10,3
131072,1,7
131072,2,7
131072,3,7
131072,4,7
131072,5,7
131072,6,7
131072,7,7
131072,8,7
131072,9,7
131072,10,7
262144,1,14
262144,2,14
262144,3,14
262144,4,14
262144,5,14
262144,6,14
262144,7,14
262144,8,14
262144,9,14
262144,10,14
524288,1,28
524288,2,28
524288,3,27
524288,4,28
524288,5,28
524288,6,28
524288,7,28
524288,8,27
524288,9,27
524288,10,27
1048576,1,56
1048576,2,55
1048576,3,54
1048576,4,54
1048576,5,54
1048576,6,54
1048576,7,54
1048576,8,55
1048576,9,54
1048576,10,54
2097152,1,110
2097152,2,109
2097152,3,108
2097152,4,108
2097152,5,108
2097152,6,108
2097152,7,108
2097152,8,108
2097152,9,108
2097152,10,108
4194304,1,219
4194304,2,217
4194304,3,216
4194304,4,217
4194304,5,216
4194304,6,216
4194304,7,216
4194304,8,217
4194304,9,217
4194304,10,216
8388608,1,438
8388608,2,433
8388608,3,432
8388608,4,430
8388608,5,430
8388608,6,431
8388608,7,430
8388608,8,430
8388608,9,431
8388608,10,431
16777216,1,877
16777216,2,863
16777216,3,862
16777216,4,860
16777216,5,860
16777216,6,868
16777216,7,860
16777216,8,864
16777216,9,861
16777216,10,859
33554432,1,1744
33554432,2,1747
33554432,3,1738
33554432,4,1746
33554432,5,1738
33554432,6,1757
33554432,7,1736
33554432,8,1746
33554432,9,1741
33554432,10,1748
67108864,1,4127
67108864,2,4114
67108864,3,4119
67108864,4,4119
67108864,5,4113
67108864,6,4112
67108864,7,4128
67108864,8,4115
67108864,9,4108
67108864,10,4116
134217728,1,7598
134217728,2,7591
134217728,3,7633
134217728,4,7581
134217728,5,7591
134217728,6,7591
134217728,7,7647
134217728,8,7596
134217728,9,7590
134217728,10,7590
268435456,1,14552
268435456,2,14523
268435456,3,14568
268435456,4,14536
268435456,5,14511
268435456,6,14526
268435456,7,14525
268435456,8,14526
268435456,9,14516
268435456,10,14534
536870912,1,28380
536870912,2,28396
536870912,3,28410
536870912,4,28383
536870912,5,28366
536870912,6,28407
536870912,7,28482
536870912,8,28455
536870912,9,28433
536870912,10,28424
1073741824,1,56165
1073741824,2,56159
1073741824,3,56216
1073741824,4,56225
1073741824,5,56171
1073741824,6,56197
1073741824,7,56210
1073741824,8,56182
1073741824,9,56179
1073741824,10,56211
