data_size (B),iteration,duration (ms)
1,1,6
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,0
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,0
8,7,0
8,8,0
8,9,0
8,10,0
16,1,0
16,2,0
16,3,0
16,4,0
16,5,0
16,6,0
16,7,0
16,8,0
16,9,0
16,10,0
32,1,0
32,2,0
32,3,0
32,4,0
32,5,0
32,6,2
32,7,0
32,8,0
32,9,0
32,10,0
64,1,0
64,2,0
64,3,0
64,4,0
64,5,0
64,6,0
64,7,1
64,8,0
64,9,0
64,10,0
128,1,0
128,2,0
128,3,0
128,4,0
128,5,0
128,6,0
128,7,0
128,8,0
128,9,0
128,10,0
256,1,0
256,2,0
256,3,0
256,4,0
256,5,0
256,6,0
256,7,0
256,8,0
256,9,0
256,10,0
512,1,0
512,2,0
512,3,0
512,4,0
512,5,0
512,6,0
512,7,0
512,8,0
512,9,0
512,10,0
1024,1,0
1024,2,0
1024,3,0
1024,4,0
1024,5,1
1024,6,0
1024,7,0
1024,8,0
1024,9,0
1024,10,0
2048,1,1
2048,2,0
2048,3,0
2048,4,0
2048,5,0
2048,6,0
2048,7,0
2048,8,0
2048,9,0
2048,10,1
4096,1,1
4096,2,1
4096,3,1
4096,4,1
4096,5,1
4096,6,3
4096,7,1
4096,8,0
4096,9,0
4096,10,1
8192,1,1
8192,2,1
8192,3,1
8192,4,1
8192,5,1
8192,6,1
8192,7,1
8192,8,1
8192,9,1
8192,10,1
16384,1,2
16384,2,2
16384,3,2
16384,4,2
16384,5,2
16384,6,2
16384,7,2
16384,8,2
16384,9,2
16384,10,2
32768,1,4
32768,2,4
32768,3,4
32768,4,4
32768,5,4
32768,6,4
32768,7,4
32768,8,4
32768,9,4
32768,10,4
65536,1,7
65536,2,7
65536,3,7
65536,4,7
65536,5,8
65536,6,8
65536,7,8
65536,8,7
65536,9,7
65536,10,7
131072,1,14
131072,2,15
131072,3,14
131072,4,14
131072,5,14
131072,6,16
131072,7,15
131072,8,14
131072,9,14
131072,10,14
262144,1,28
262144,2,28
262144,3,28
262144,4,28
262144,5,28
262144,6,28
262144,7,28
262144,8,28
262144,9,29
262144,10,29
524288,1,56
524288,2,56
524288,3,56
524288,4,56
524288,5,56
524288,6,56
524288,7,55
524288,8,56
524288,9,56
524288,10,56
1048576,1,112
1048576,2,110
1048576,3,111
1048576,4,111
1048576,5,110
1048576,6,111
1048576,7,110
1048576,8,111
1048576,9,111
1048576,10,110
2097152,1,223
2097152,2,220
2097152,3,221
2097152,4,221
2097152,5,221
2097152,6,222
2097152,7,221
2097152,8,221
2097152,9,221
2097152,10,221
4194304,1,443
4194304,2,439
4194304,3,445
4194304,4,441
4194304,5,440
4194304,6,440
4194304,7,440
4194304,8,439
4194304,9,440
4194304,10,440
8388608,1,884
8388608,2,879
8388608,3,881
8388608,4,879
8388608,5,879
8388608,6,880
8388608,7,879
8388608,8,880
8388608,9,879
8388608,10,879
16777216,1,1780
16777216,2,1761
16777216,3,1763
16777216,4,1760
16777216,5,1760
16777216,6,1764
16777216,7,1761
16777216,8,1764
16777216,9,1763
16777216,10,1759
33554432,1,3543
33554432,2,3541
33554432,3,3542
33554432,4,3553
33554432,5,3554
33554432,6,3551
33554432,7,3543
33554432,8,3541
33554432,9,3536
33554432,10,3542
67108864,1,7446
67108864,2,7429
67108864,3,7438
67108864,4,7441
67108864,5,7440
67108864,6,7456
67108864,7,7429
67108864,8,7427
67108864,9,7433
67108864,10,7440
134217728,1,14492
134217728,2,14485
134217728,3,14483
134217728,4,14495
134217728,5,14493
134217728,6,14486
134217728,7,14507
134217728,8,14545
134217728,9,14497
134217728,10,14489
268435456,1,28629
268435456,2,28579
268435456,3,28669
268435456,4,28586
268435456,5,28647
268435456,6,28570
268435456,7,28645
268435456,8,28561
268435456,9,28591
268435456,10,28592
536870912,1,56865
536870912,2,56817
536870912,3,56830
536870912,4,56783
536870912,5,56797
536870912,6,56756
536870912,7,56763
536870912,8,56760
536870912,9,56780
536870912,10,56803
1073741824,1,113185
1073741824,2,113208
1073741824,3,113250
1073741824,4,113154
1073741824,5,113203
1073741824,6,113193
1073741824,7,113187
1073741824,8,113164
1073741824,9,113185
1073741824,10,113159
