data_size (B),iteration,duration (ms)
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,0
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,0
8,7,0
8,8,0
8,9,0
8,10,0
16,1,0
16,2,0
16,3,0
16,4,0
16,5,0
16,6,0
16,7,0
16,8,0
16,9,0
16,10,0
32,1,0
32,2,0
32,3,0
32,4,0
32,5,0
32,6,0
32,7,0
32,8,0
32,9,0
32,10,0
64,1,0
64,2,0
64,3,0
64,4,0
64,5,0
64,6,0
64,7,0
64,8,0
64,9,0
64,10,0
128,1,0
128,2,0
128,3,0
128,4,0
128,5,0
128,6,0
128,7,0
128,8,0
128,9,0
128,10,0
256,1,0
256,2,0
256,3,0
256,4,0
256,5,0
256,6,0
256,7,0
256,8,0
256,9,0
256,10,0
512,1,0
512,2,0
512,3,0
512,4,0
512,5,0
512,6,0
512,7,0
512,8,0
512,9,0
512,10,0
1024,1,0
1024,2,0
1024,3,0
1024,4,0
1024,5,0
1024,6,0
1024,7,0
1024,8,0
1024,9,0
1024,10,0
2048,1,0
2048,2,0
2048,3,0
2048,4,0
2048,5,0
2048,6,0
2048,7,0
2048,8,0
2048,9,0
2048,10,0
4096,1,0
4096,2,0
4096,3,0
4096,4,0
4096,5,0
4096,6,0
4096,7,0
4096,8,0
4096,9,0
4096,10,0
8192,1,0
8192,2,0
8192,3,0
8192,4,0
8192,5,0
8192,6,0
8192,7,0
8192,8,0
8192,9,0
8192,10,0
16384,1,1
16384,2,1
16384,3,1
16384,4,1
16384,5,1
16384,6,1
16384,7,1
16384,8,1
16384,9,1
16384,10,1
32768,1,2
32768,2,2
32768,3,2
32768,4,2
32768,5,2
32768,6,2
32768,7,2
32768,8,2
32768,9,2
32768,10,2
65536,1,3
65536,2,3
65536,3,3
65536,4,4
65536,5,4
65536,6,4
65536,7,3
65536,8,3
65536,9,3
65536,10,3
131072,1,7
131072,2,7
131072,3,7
131072,4,7
131072,5,7
131072,6,7
131072,7,7
131072,8,7
131072,9,7
131072,10,7
262144,1,14
262144,2,14
262144,3,14
262144,4,14
262144,5,14
262144,6,14
262144,7,14
262144,8,14
262144,9,14
262144,10,14
524288,1,28
524288,2,28
524288,3,27
524288,4,27
524288,5,27
524288,6,27
524288,7,27
524288,8,27
524288,9,27
524288,10,27
1048576,1,55
1048576,2,55
1048576,3,55
1048576,4,55
1048576,5,54
1048576,6,55
1048576,7,55
1048576,8,55
1048576,9,55
1048576,10,55
2097152,1,111
2097152,2,110
2097152,3,109
2097152,4,109
2097152,5,109
2097152,6,109
2097152,7,109
2097152,8,109
2097152,9,109
2097152,10,109
4194304,1,221
4194304,2,219
4194304,3,218
4194304,4,219
4194304,5,219
4194304,6,218
4194304,7,218
4194304,8,219
4194304,9,219
4194304,10,218
8388608,1,443
8388608,2,439
8388608,3,438
8388608,4,437
8388608,5,437
8388608,6,437
8388608,7,437
8388608,8,437
8388608,9,437
8388608,10,437
16777216,1,886
16777216,2,881
16777216,3,876
16777216,4,875
16777216,5,875
16777216,6,878
16777216,7,875
16777216,8,879
16777216,9,876
16777216,10,875
33554432,1,1779
33554432,2,1776
33554432,3,1773
33554432,4,1792
33554432,5,1783
33554432,6,1776
33554432,7,1776
33554432,8,1777
33554432,9,1770
33554432,10,1778
67108864,1,3911
67108864,2,3899
67108864,3,3905
67108864,4,3907
67108864,5,3908
67108864,6,3932
67108864,7,3900
67108864,8,3894
67108864,9,3906
67108864,10,3906
134217728,1,7436
134217728,2,7432
134217728,3,7430
134217728,4,7426
134217728,5,7436
134217728,6,7433
134217728,7,7435
134217728,8,7439
134217728,9,7437
134217728,10,7434
268435456,1,14528
268435456,2,14482
268435456,3,14526
268435456,4,14487
268435456,5,14536
268435456,6,14473
268435456,7,14494
268435456,8,14474
268435456,9,14494
268435456,10,14494
536870912,1,28629
536870912,2,28595
536870912,3,28613
536870912,4,28586
536870912,5,28580
536870912,6,28580
536870912,7,28587
536870912,8,28584
536870912,9,28599
536870912,10,28626
1073741824,1,56821
1073741824,2,56821
1073741824,3,56822
1073741824,4,56808
1073741824,5,56801
1073741824,6,56816
1073741824,7,56796
1073741824,8,56789
1073741824,9,56797
1073741824,10,56791
